,Name,Size_Org,Size_ReS,Size_AE,Size_PCA,SSIM_PCA,SSIM_AE,PSNR_PCA,PSNR_AE
90,7100.jpg,5172,127,59,64,0.8827163836709481,0.8068004069204698,33.86078055802518,31.15179589131848
91,8157.jpg,5291,180,82,98,0.8917616300987762,0.7169440716711802,29.46993515219952,27.682218319332314
92,8388.jpg,5098,184,88,102,0.9072060620311532,0.7621123891159178,31.202423311927184,28.077977392801408
93,9066.jpg,5279,127,57,65,0.9064914115056109,0.8229070026213678,34.222432422026955,29.966062519745897
94,6454.jpg,4912,89,41,46,0.938642595981603,0.8896892458998782,35.611021633874486,29.79417060550835
95,9093.jpg,5128,143,66,75,0.9109839784179281,0.8189247424994188,33.17729476505673,30.0393395953106
96,6359.jpg,5105,123,58,64,0.9092522843509249,0.8327323015050375,34.140471132158545,30.749812466106896
97,8212.jpg,5503,119,66,84,0.8234910384897454,0.6975794425980574,28.207749281763977,27.560988009936814
98,8229.jpg,5453,110,57,68,0.8517192356913887,0.7685277888025946,28.263145550922584,27.690390246966405
99,7675.jpg,4956,104,46,52,0.9122227810654238,0.8461831245401201,35.101429101899775,29.185061031885695
100,8500.jpg,5112,166,75,88,0.900170930200159,0.7760347776931903,31.856373737611076,29.572725661995925
101,8479.jpg,5102,140,66,75,0.9116403003272371,0.825795226884821,33.14990195585126,29.758212602691493
102,7671.jpg,5457,118,53,58,0.8872566184310537,0.809285091069027,34.32897652183118,32.338377478175936
103,7024.jpg,5253,163,71,84,0.8857414327724203,0.7725518094896942,31.687138708433192,29.7769550404845
104,7920.jpg,5209,192,96,153,0.8157486522000458,0.6596916465569748,27.659332310297277,27.427790966558412
105,6731.jpg,5478,119,52,62,0.9230190422708738,0.8323828669980048,33.78792030879814,30.427131629373324
106,6734.jpg,5510,121,53,63,0.922581230811717,0.8331819851576162,33.70485091242728,30.204714839592015
107,8805.jpg,5213,155,72,79,0.8759335966516801,0.760526129400848,32.28455786506938,30.61986211096269
